#,order_date,order_status,total_orders,total_revenue
1,2026-07-26,cancelled,2,3.96
2,2026-07-26,completed,94,203.22
3,2026-07-25,cancelled,2,2.84
4,2026-07-25,completed,106,224.365
5,2026-07-24,cancelled,1,2.58
6,2026-07-24,completed,64,131.89
7,2026-07-23,cancelled,6,10.68
8,2026-07-23,completed,83,174.535
9,2026-07-22,completed,68,141.28
10,2026-07-21,cancelled,4,6.29
11,2026-07-21,completed,82,173.925
12,2026-07-20,cancelled,4,9.91
13,2026-07-20,completed,69,146.95
14,2026-07-19,cancelled,6,12.29
15,2026-07-19,completed,78,171.54
16,2026-07-18,cancelled,3,5.1
17,2026-07-18,completed,65,139.89
18,2026-07-17,cancelled,5,10.63
19,2026-07-17,completed,81,157.04
20,2026-07-16,cancelled,5,10.76
21,2026-07-16,completed,89,199.325
22,2026-07-15,cancelled,2,5.04
23,2026-07-15,completed,60,117.99
24,2026-07-14,cancelled,3,5.8
25,2026-07-14,completed,72,160.84
26,2026-07-13,cancelled,1,1.71
27,2026-07-13,completed,43,85.925
28,2026-07-12,cancelled,1,1.21
29,2026-07-12,completed,77,172.46
30,2026-07-11,cancelled,4,8.57
31,2026-07-11,completed,77,174.98
32,2026-07-10,cancelled,4,7.45
33,2026-07-10,completed,59,119.645
34,2026-07-09,cancelled,1,2.08
35,2026-07-09,completed,66,143.085
36,2026-07-08,cancelled,6,8.79
37,2026-07-08,completed,79,178.4
38,2026-07-07,cancelled,2,2.96
39,2026-07-07,completed,71,166.81
40,2026-07-06,cancelled,9,18.87
41,2026-07-06,completed,76,153.45
42,2026-07-05,cancelled,4,11.76
43,2026-07-05,completed,91,226.25
44,2026-07-04,completed,67,147.425
45,2026-07-03,cancelled,4,8.97
46,2026-07-03,completed,77,174.58
47,2026-07-02,completed,53,119.795
48,2026-07-01,cancelled,1,3.06
49,2026-07-01,completed,48,106.67
50,2026-06-30,cancelled,2,3.17
51,2026-06-30,completed,36,65.81
52,2026-06-29,cancelled,2,3.56
53,2026-06-29,completed,33,63.625
54,2026-06-28,cancelled,3,7.24
55,2026-06-28,completed,43,84.74
56,2026-06-27,completed,41,79.205
57,2026-06-26,completed,35,66.98
58,2026-06-25,cancelled,1,1.81
59,2026-06-25,completed,50,106.285
60,2026-06-24,cancelled,1,0.88
61,2026-06-24,completed,54,99.44
62,2026-06-23,completed,31,59.865
63,2026-06-22,cancelled,1,1.16
64,2026-06-22,completed,40,84.63
65,2026-06-21,cancelled,6,16.34
66,2026-06-21,completed,76,183.945
67,2026-06-20,cancelled,4,8.82
68,2026-06-20,completed,52,114.175
69,2026-06-19,cancelled,3,4.8
70,2026-06-19,completed,51,113.59
71,2026-06-18,cancelled,4,10.59
72,2026-06-18,completed,43,99.545
73,2026-06-17,cancelled,6,16.45
74,2026-06-17,completed,36,71.205
75,2026-06-16,cancelled,2,3.89
76,2026-06-16,completed,32,79.68
77,2026-06-15,completed,10,26.5
78,2026-06-14,completed,12,28.24
79,2026-06-13,cancelled,1,1.43
80,2026-06-13,completed,17,38.74
81,2026-06-12,completed,12,21.76
82,2026-06-11,completed,7,9.185
83,2026-06-10,completed,16,34.16
84,2026-06-09,cancelled,4,7.41
85,2026-06-09,completed,21,40.935
86,2026-06-08,completed,10,19.125
87,2026-06-07,cancelled,1,3.78
88,2026-06-07,completed,11,22.61
89,2026-06-06,completed,17,42.765
90,2026-06-05,completed,15,38.735
91,2026-06-04,completed,7,13.94
92,2026-06-03,cancelled,1,0.95
93,2026-06-03,completed,15,33.6
94,2026-06-02,completed,14,29.54
95,2026-06-01,cancelled,1,2.88
96,2026-06-01,completed,17,32.97
97,2026-05-31,completed,11,21.515
98,2026-05-30,completed,7,20.76
99,2026-05-29,completed,8,11.445
100,2026-05-28,completed,6,13.735
101,2026-05-27,completed,5,9.7
102,2026-05-26,completed,9,23.97
