order_date,order_status,total_orders,total_revenue,usingmapp,usingcapp
2026-07-22,completed,24,44.1,24,0
2026-07-21,completed,29,57.45,29,0
2026-07-20,completed,28,54.51,28,0
2026-07-19,completed,33,63.34,33,0
2026-07-18,completed,22,41.15,22,0
2026-07-17,completed,37,76.69,37,0
2026-07-16,completed,32,71.91,32,0
2026-07-15,completed,29,48.78,29,0
2026-07-14,completed,19,31.4,19,0
2026-07-13,completed,18,32.69,18,0
2026-07-12,completed,35,67.61,35,0
2026-07-11,completed,35,71.52,35,0
2026-07-10,completed,14,23.71,14,0
2026-07-09,completed,22,46.285,14,8
2026-07-08,completed,25,54.645,0,25
2026-07-07,completed,18,31.625,0,18
2026-07-06,completed,22,42.8,0,22
2026-07-05,completed,25,68.16,0,25
2026-07-04,completed,31,64,0,31
2026-07-03,completed,24,43.58,0,24
2026-07-02,completed,22,49.21,0,22
2026-07-01,completed,29,60.275,0,29
2026-06-30,completed,26,45.13,0,26
2026-06-29,completed,23,41.68,0,23
2026-06-28,completed,35,71.125,0,35
2026-06-27,completed,29,54.8,0,29
2026-06-26,completed,31,59.845,0,31
2026-06-25,completed,42,86.645,0,42
2026-06-24,completed,41,71.9,0,41
2026-06-23,completed,26,51.245,0,26
2026-06-22,completed,27,58.105,3,24
2026-06-21,completed,28,63.335,3,25
2026-06-20,completed,44,89.76,12,32
2026-06-19,completed,38,85.175,30,8
2026-06-18,completed,35,80.81,32,3
2026-06-17,completed,27,55.365,26,1
2026-06-16,completed,24,62.53,23,1
2026-06-15,completed,5,15.285,0,5
