#,week_start_monday,week_end_sunday,total_orders_attempted,completed_orders,cancelled_orders,cancellation_rate_pct,actual_realized_revenue
1,2026-07-20,2026-07-26,585,566,19,3.25,1196.165
2,2026-07-13,2026-07-19,513,488,25,4.87,1032.55
3,2026-07-06,2026-07-12,532,505,27,5.08,1108.83
4,2026-06-29,2026-07-05,418,405,13,3.11,904.155
5,2026-06-22,2026-06-28,300,294,6,2,581.145
6,2026-06-15,2026-06-21,325,300,25,7.69,688.64
7,2026-06-08,2026-06-14,100,95,5,5,192.145
8,2026-06-01,2026-06-07,99,96,3,3.03,214.16
9,2026-05-25,2026-05-31,57,56,1,1.75,115.785
10,2026-05-18,2026-05-24,69,64,5,7.25,145.91
11,2026-05-11,2026-05-17,75,74,1,1.33,166.67
12,2026-05-04,2026-05-10,155,151,4,2.58,341.125
13,2026-04-27,2026-05-03,75,71,4,5.33,173.32
14,2026-04-20,2026-04-26,52,50,2,3.85,129.91
15,2026-04-13,2026-04-19,53,52,1,1.89,146.585
16,2026-04-06,2026-04-12,118,111,7,5.93,242.56
17,2026-03-30,2026-04-05,49,44,5,10.2,102.94
18,2026-03-23,2026-03-29,47,43,4,8.51,79.52
19,2026-03-16,2026-03-22,40,40,0,0,67.96
20,2026-03-09,2026-03-15,33,33,0,0,38.27
21,2026-03-02,2026-03-08,52,48,4,7.69,71.92
22,2026-02-23,2026-03-01,14,13,1,7.14,15.69
23,2026-02-16,2026-02-22,36,30,6,16.67,74.37
24,2026-02-09,2026-02-15,42,36,6,14.29,63.69
25,2026-02-02,2026-02-08,2,1,1,50,1.6
26,2026-01-26,2026-02-01,7,5,2,28.57,3.78
27,2026-01-19,2026-01-25,2,1,1,50,3.67
